,N,d,Method,GT,rho,random_state,Pred,Time
1270,1000,20,CCMI,8.26678573184468,-0.75,46,0.26231902837753296,13.107239007949829
1271,1000,20,LMI,8.26678573184468,-0.75,47,7.542266130399699,25.835448026657104
1272,200,2,LMI,0.2876820724517809,-0.5,32,0.27508291956354736,0.5876178741455078
1273,200,2,KSG,0.2876820724517809,-0.5,32,0.21663892972591448,0.003701925277709961
1274,200,2,CCMI,0.2876820724517809,-0.5,32,0.07680512219667435,7.561105012893677
1275,200,2,LMI,0.2876820724517809,-0.5,33,0.21922522888257628,2.218996047973633
1276,200,2,KSG,0.2876820724517809,-0.5,33,0.11492615199895295,0.0029020309448242188
1277,200,2,CCMI,0.2876820724517809,-0.5,33,0.021899620071053505,7.9837281703948975
1278,200,2,LMI,0.2876820724517809,-0.5,34,0.23892870403948352,3.546311855316162
1279,200,2,KSG,0.2876820724517809,-0.5,34,0.05121154138104378,0.0031669139862060547
1280,200,2,KSG,0.2876820724517809,-0.5,21,0.23719872746830617,0.005048036575317383
1281,200,2,CCMI,0.2876820724517809,-0.5,21,0.03532741218805313,8.542283058166504
1282,200,2,LMI,0.2876820724517809,-0.5,22,0.33264376884778474,3.193420886993408
1283,200,2,KSG,0.2876820724517809,-0.5,22,0.09143353162809731,0.004202842712402344
1284,200,2,CCMI,0.2876820724517809,-0.5,22,0.019501591101288795,8.27868914604187
1285,200,2,LMI,0.2876820724517809,-0.5,23,0.2673197629627569,3.2406702041625977
1286,200,2,KSG,0.2876820724517809,-0.5,23,0.09562889014523301,0.004407167434692383
1287,200,2,CCMI,0.2876820724517809,-0.5,23,-0.05701146647334099,7.84840202331543
1288,200,2,KSG,0.2876820724517809,-0.5,29,0.0037194030736039663,0.0019502639770507812
1289,200,2,CCMI,0.2876820724517809,-0.5,29,0.07872532308101654,8.149622917175293
1290,200,2,LMI,0.2876820724517809,-0.5,30,0.2014738450207979,1.7692441940307617
1291,200,2,KSG,0.2876820724517809,-0.5,30,0.0616688384656946,0.0027391910552978516
1292,200,2,CCMI,0.2876820724517809,-0.5,30,0.07684092223644257,8.263098001480103
1293,200,2,LMI,0.2876820724517809,-0.5,31,0.2250568632112365,2.0909502506256104
1294,200,2,KSG,0.2876820724517809,-0.5,31,0.025362976466890674,0.003320932388305664
1295,200,2,CCMI,0.2876820724517809,-0.5,31,0.0383286215364933,7.800060749053955
1296,200,2,CCMI,0.2876820724517809,-0.5,26,0.04034620523452759,8.160125017166138
1297,200,2,LMI,0.2876820724517809,-0.5,27,0.2796080505819858,1.7609198093414307
1298,200,2,KSG,0.2876820724517809,-0.5,27,0.1065987098120521,0.00255584716796875
1299,200,2,CCMI,0.2876820724517809,-0.5,27,0.015917107462882996,8.306269884109497
1300,200,2,LMI,0.2876820724517809,-0.5,28,0.3321084924632214,0.7910990715026855
1301,200,2,KSG,0.2876820724517809,-0.5,28,0.24749991767585156,0.002725839614868164
1302,200,2,CCMI,0.2876820724517809,-0.5,28,0.03332768753170967,7.9720540046691895
1303,200,2,LMI,0.2876820724517809,-0.5,29,0.23029475624692022,3.0709352493286133
1304,200,2,CCMI,0.2876820724517809,-0.5,34,0.09279515594244003,7.528044939041138
1305,200,2,LMI,0.2876820724517809,-0.5,35,0.36963122612097166,2.4830451011657715
1306,200,2,KSG,0.2876820724517809,-0.5,35,0.04928647831088184,0.003270864486694336
1307,200,2,CCMI,0.2876820724517809,-0.5,35,0.14270377159118652,8.011356115341187
1308,200,2,LMI,0.2876820724517809,-0.5,36,0.3745602933100662,3.582284927368164
1309,200,2,KSG,0.2876820724517809,-0.5,36,0.11675094390431517,0.00688481330871582
1310,200,2,CCMI,0.2876820724517809,-0.5,36,0.08234556019306183,8.810243129730225
1311,200,2,LMI,0.2876820724517809,-0.5,37,0.25259799863080185,2.668044090270996
1312,200,2,LMI,0.2876820724517809,-0.5,40,0.22323450501931108,0.7627768516540527
1313,200,2,KSG,0.2876820724517809,-0.5,40,0.13758586561563513,0.005830049514770508
1314,200,2,CCMI,0.2876820724517809,-0.5,40,0.031079770997166634,7.813849210739136
1315,200,2,LMI,0.2876820724517809,-0.5,41,0.2790294236373094,1.7670361995697021
1316,200,2,KSG,0.2876820724517809,-0.5,41,0.16595426619427467,0.0049610137939453125
1317,200,2,CCMI,0.2876820724517809,-0.5,41,0.029990840703248978,8.307527780532837
1318,200,2,LMI,0.2876820724517809,-0.5,42,0.18342260489608214,1.6100459098815918
1319,200,2,KSG,0.2876820724517809,-0.5,42,0.08599122212528776,0.00512385368347168
1320,200,2,CCMI,0.2876820724517809,-0.5,42,0.02972724661231041,7.58967399597168
1321,200,2,LMI,0.2876820724517809,-0.5,43,0.25790078894510193,0.8928589820861816
1322,200,2,KSG,0.2876820724517809,-0.5,43,0.1886254227157108,0.0041599273681640625
1323,200,2,CCMI,0.2876820724517809,-0.5,43,0.0285666324198246,8.528164863586426
1324,200,2,LMI,0.2876820724517809,-0.5,44,0.23648043624691548,1.0916118621826172
